Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z
98,-9.16, 53.01, 29.03,0.15, 342.16, 0.00,
99,-9.16, 53.00, 29.03,0.15, 342.16, 0.00,
100,-9.16, 52.99, 29.03,0.20, 342.16, 0.00,
101,-9.16, 52.97, 29.03,0.25, 342.21, 0.00,
102,-9.16, 52.96, 29.03,0.25, 342.21, 0.00,
103,-9.16, 52.95, 29.03,0.25, 342.21, 0.00,
104,-9.16, 52.94, 29.03,0.25, 342.21, 0.00,
105,-9.16, 52.93, 29.03,0.30, 342.21, 0.00,
106,-9.16, 52.91, 29.03,0.30, 342.21, 0.00,
107,-9.16, 52.90, 29.03,0.35, 342.21, 0.00,
108,-9.16, 52.89, 29.03,0.35, 342.21, 0.00,
109,-9.16, 52.87, 29.03,0.35, 342.26, 0.00,
110,-9.16, 52.86, 29.03,0.35, 342.26, 0.00,
111,-9.16, 52.85, 29.03,0.40, 342.26, 0.00,
112,-9.16, 52.84, 29.03,0.40, 342.26, 0.00,
113,-9.16, 52.83, 29.03,0.40, 342.26, 0.00,
114,-9.16, 52.81, 29.03,0.40, 342.26, 0.00,
115,-9.16, 52.80, 29.03,0.40, 342.26, 0.00,
116,-9.16, 52.79, 29.03,0.40, 342.26, 0.00,
117,-9.16, 52.78, 29.03,0.40, 342.26, 0.00,
118,-9.16, 52.77, 29.03,0.40, 342.26, 0.00,
119,-9.16, 52.76, 29.03,0.40, 342.26, 0.00,
120,-9.16, 52.75, 29.03,0.40, 342.26, 0.00,
121,-9.16, 52.74, 29.03,0.40, 342.26, 0.00,
122,-9.16, 52.73, 29.03,0.40, 342.26, 0.00,
123,-9.16, 52.72, 29.03,0.40, 342.26, 0.00,
124,-9.16, 52.71, 29.03,0.40, 342.26, 0.00,
125,-9.16, 52.70, 29.03,0.40, 342.26, 0.00,
126,-9.16, 52.69, 29.03,0.40, 342.26, 0.00,
127,-9.16, 52.67, 29.03,0.40, 342.26, 0.00,
128,-9.16, 52.66, 29.03,0.40, 342.26, 0.00,
129,-9.16, 52.65, 29.03,0.40, 342.26, 0.00,
130,-9.16, 52.64, 29.03,0.40, 342.26, 0.00,
131,-9.16, 52.63, 29.03,0.40, 342.26, 0.00,
132,-9.16, 52.62, 29.03,0.40, 342.26, 0.00,
133,-9.16, 52.61, 29.03,0.40, 342.26, 0.00,
134,-9.16, 52.60, 29.03,0.40, 342.26, 0.00,
135,-9.16, 52.59, 29.03,0.40, 342.26, 0.00,
136,-9.16, 52.58, 29.03,0.40, 342.26, 0.00,
137,-9.16, 52.57, 29.03,0.40, 342.26, 0.00,
138,-9.16, 52.56, 29.03,0.40, 342.26, 0.00,
139,-9.16, 52.55, 29.03,0.40, 342.26, 0.00,
140,-9.16, 52.54, 29.03,0.40, 342.26, 0.00,
141,-9.16, 52.53, 29.03,0.40, 342.26, 0.00,
142,-9.16, 52.52, 29.03,0.40, 342.26, 0.00,
143,-9.16, 52.51, 29.03,0.40, 342.26, 0.00,
144,-9.16, 52.50, 29.03,0.40, 342.26, 0.00,
145,-9.16, 52.49, 29.03,0.40, 342.26, 0.00,
146,-9.16, 52.48, 29.03,0.40, 342.26, 0.00,
147,-9.16, 52.47, 29.03,0.40, 342.26, 0.00,
148,-9.16, 52.45, 29.03,0.40, 342.26, 0.00,
149,-9.16, 52.44, 29.03,0.40, 342.26, 0.00,
150,-9.16, 52.43, 29.03,0.40, 342.26, 0.00,
151,-9.16, 52.42, 29.03,0.40, 342.26, 0.00,
152,-9.16, 52.41, 29.03,0.40, 342.26, 0.00,
153,-9.16, 52.40, 29.03,0.40, 342.26, 0.00,
154,-9.16, 52.39, 29.03,0.40, 342.26, 0.00,
155,-9.16, 52.38, 29.03,0.40, 342.26, 0.00,
156,-9.16, 52.37, 29.03,0.40, 342.26, 0.00,
157,-9.16, 52.36, 29.03,0.40, 342.26, 0.00,
158,-9.16, 52.35, 29.03,0.40, 342.26, 0.00,
159,-9.16, 52.34, 29.03,0.40, 342.26, 0.00,
160,-9.16, 52.33, 29.03,0.40, 342.31, 0.00,
161,-9.16, 52.32, 29.03,0.45, 342.31, 0.00,
162,-9.16, 52.30, 29.03,0.45, 342.31, 0.00,
163,-9.16, 52.29, 29.03,0.45, 342.31, 0.00,
164,-9.16, 52.28, 29.03,0.45, 342.31, 0.00,
165,-9.16, 52.27, 29.03,0.45, 342.31, 0.00,
166,-9.16, 52.25, 29.03,0.45, 342.31, 0.00,
167,-9.16, 52.24, 29.03,0.50, 342.31, 0.00,
168,-9.16, 52.23, 29.03,0.50, 342.31, 0.00,
169,-9.16, 52.22, 29.03,0.50, 342.31, 0.00,
170,-9.16, 52.21, 29.03,0.50, 342.31, 0.00,
171,-9.16, 52.19, 29.03,0.50, 342.31, 0.00,
172,-9.16, 52.18, 29.03,0.50, 342.31, 0.00,
173,-9.16, 52.17, 29.03,0.55, 342.31, 0.00,
