Date,Target_x,TArget_y,Target_z,camRotation_x,camRotation_y,camRotation_z,DegreeError
0,1.20, 50.48, 31.74,0.00, 352.11, 0.00,0,
1,1.20, 50.48, 31.54,0.00, 352.11, 0.00,0,
2,1.20, 50.48, 31.34,48.40, 336.36, 0.00,83.2261593650272,
3,1.20, 50.48, 28.01,46.95, 335.96, 0.00,78.0764030763297,
4,1.20, 50.48, 27.71,46.95, 335.96, 0.00,78.0764030763297,
5,1.20, 50.48, 27.53,46.95, 335.96, 0.00,78.0764030763297,
6,1.20, 50.48, 27.48,46.95, 335.96, 0.00,78.0764030763297,
7,1.20, 50.48, 27.41,46.95, 335.96, 0.00,78.0764030763297,
8,1.20, 50.48, 27.35,46.95, 335.96, 0.00,78.0764030763297,
9,1.20, 50.48, 27.30,46.95, 335.96, 0.00,78.0764030763297,
10,1.20, 50.48, 27.24,46.95, 335.96, 0.00,78.0764030763297,
11,1.20, 50.48, 27.18,46.95, 335.96, 0.00,78.0764030763297,
12,1.20, 50.48, 27.13,46.95, 335.96, 0.00,78.0764030763297,
13,1.20, 50.48, 27.08,46.95, 335.96, 0.00,78.0764030763297,
14,1.20, 50.48, 27.04,46.95, 335.96, 0.00,78.0764030763297,
15,1.20, 50.48, 26.97,46.95, 335.96, 0.00,78.0764030763297,
16,1.20, 50.48, 26.89,46.95, 335.96, 0.00,78.0764030763297,
17,1.20, 50.48, 26.84,46.95, 335.96, 0.00,78.0764030763297,
18,1.20, 50.48, 26.79,46.95, 335.96, 0.00,78.0764030763297,
19,1.20, 50.48, 26.75,46.95, 335.96, 0.00,78.0764030763297,
20,1.20, 50.48, 26.71,46.95, 335.96, 0.00,78.0764030763297,
21,1.20, 50.48, 26.66,46.95, 335.96, 0.00,78.0764030763297,
22,1.20, 50.48, 26.62,46.95, 335.96, 0.00,78.0764030763297,
23,1.20, 50.48, 26.58,46.95, 335.96, 0.00,78.0764030763297,
24,1.20, 50.48, 26.48,46.95, 335.96, 0.00,78.0764030763297,
25,1.20, 50.48, 26.44,46.95, 335.96, 0.00,78.0764030763297,
26,1.20, 50.48, 26.39,46.95, 335.96, 0.00,78.0764030763297,
27,1.20, 50.48, 26.35,46.95, 335.96, 0.00,78.0764030763297,
28,1.20, 50.48, 26.31,46.95, 335.96, 0.00,78.0764030763297,
29,1.20, 50.48, 26.26,46.95, 335.96, 0.00,78.0764030763297,
30,1.20, 50.48, 26.21,46.95, 335.96, 0.00,78.0764030763297,
31,1.20, 50.48, 26.16,46.95, 335.96, 0.00,78.0764030763297,
32,1.20, 50.48, 26.12,46.95, 335.96, 0.00,78.0764030763297,
33,1.20, 50.48, 26.07,46.95, 335.96, 0.00,78.0764030763297,
34,1.20, 50.48, 26.03,46.95, 335.96, 0.00,78.0764030763297,
35,1.20, 50.48, 25.98,46.95, 335.96, 0.00,78.0764030763297,
36,1.20, 50.48, 25.94,46.95, 335.96, 0.00,78.0764030763297,
37,1.20, 50.48, 25.90,46.95, 335.96, 0.00,78.0764030763297,
38,1.20, 50.48, 25.84,46.95, 335.96, 0.00,78.0764030763297,
39,1.20, 50.48, 25.79,46.95, 335.96, 0.00,78.0764030763297,
40,1.20, 50.48, 25.74,46.95, 335.96, 0.00,78.0764030763297,
41,1.20, 50.48, 25.70,46.95, 335.96, 0.00,78.0764030763297,
42,1.20, 50.48, 25.66,46.95, 335.96, 0.00,78.0764030763297,
43,1.20, 50.48, 25.62,46.95, 335.96, 0.00,78.0764030763297,
44,1.20, 50.48, 25.58,46.95, 335.96, 0.00,78.0764030763297,
45,1.20, 50.48, 25.53,46.95, 335.96, 0.00,78.0764030763297,
46,1.20, 50.48, 25.48,46.95, 335.96, 0.00,78.0764030763297,
47,1.20, 50.48, 25.43,46.95, 335.96, 0.00,78.0764030763297,
48,1.20, 50.48, 25.39,46.95, 335.96, 0.00,78.0764030763297,
49,1.20, 50.48, 25.36,46.95, 335.96, 0.00,78.0764030763297,
50,1.20, 50.48, 25.32,46.95, 335.96, 0.00,78.0764030763297,
51,1.20, 50.48, 25.27,46.95, 335.96, 0.00,78.0764030763297,
52,1.20, 50.48, 25.23,46.95, 335.96, 0.00,78.0764030763297,
53,1.20, 50.48, 25.17,46.95, 335.96, 0.00,78.0764030763297,
54,1.20, 50.48, 25.13,46.95, 335.96, 0.00,78.0764030763297,
55,1.20, 50.48, 25.08,46.95, 335.96, 0.00,78.0764030763297,
56,1.20, 50.48, 24.97,46.95, 335.96, 0.00,78.0764030763297,
57,1.20, 50.48, 24.93,46.95, 335.96, 0.00,78.0764030763297,
58,1.20, 50.48, 24.84,46.95, 335.96, 0.00,78.0764030763297,
59,1.20, 50.48, 24.79,46.95, 335.96, 0.00,78.0764030763297,
60,1.20, 50.48, 24.74,46.95, 335.96, 0.00,78.0764030763297,
61,1.20, 50.48, 24.70,46.95, 335.96, 0.00,78.0764030763297,
62,1.20, 50.48, 24.66,46.95, 335.96, 0.00,78.0764030763297,
63,1.20, 50.48, 24.61,46.95, 335.96, 0.00,78.0764030763297,
64,1.20, 50.48, 24.57,46.95, 335.96, 0.00,78.0764030763297,
65,1.20, 50.48, 24.52,46.95, 335.96, 0.00,78.0764030763297,
66,1.20, 50.48, 24.47,46.95, 335.96, 0.00,78.0764030763297,
67,1.20, 50.48, 24.43,46.95, 335.96, 0.00,78.0764030763297,
68,1.20, 50.48, 24.38,46.95, 335.96, 0.00,78.0764030763297,
69,1.20, 50.48, 24.33,46.95, 335.96, 0.00,78.0764030763297,
70,1.20, 50.48, 24.28,46.95, 335.96, 0.00,78.0764030763297,
71,1.20, 50.48, 24.22,46.95, 335.96, 0.00,78.0764030763297,
72,1.20, 50.48, 24.16,46.95, 335.96, 0.00,78.0764030763297,
73,1.20, 50.48, 24.10,46.95, 335.96, 0.00,78.0764030763297,
74,1.20, 50.48, 24.06,46.95, 335.96, 0.00,78.0764030763297,
75,1.20, 50.48, 24.01,46.95, 335.96, 0.00,78.0764030763297,
76,1.20, 50.48, 23.97,46.95, 335.96, 0.00,78.0764030763297,
77,1.20, 50.48, 23.92,46.95, 335.96, 0.00,78.0764030763297,
78,1.20, 50.48, 23.87,46.95, 335.96, 0.00,78.0764030763297,
79,1.20, 50.48, 23.80,46.95, 335.96, 0.00,78.0764030763297,
80,1.20, 50.48, 23.75,46.95, 335.96, 0.00,78.0764030763297,
81,1.20, 50.48, 23.72,46.95, 335.96, 0.00,78.0764030763297,
82,1.20, 50.48, 23.67,46.95, 335.96, 0.00,78.0764030763297,
83,1.20, 50.48, 23.64,46.95, 335.96, 0.00,78.0764030763297,
84,1.20, 50.48, 23.60,46.95, 335.96, 0.00,78.0764030763297,
85,1.20, 50.48, 23.55,46.95, 335.96, 0.00,78.0764030763297,
86,1.20, 50.48, 23.43,46.95, 335.96, 0.00,78.0764030763297,
87,1.20, 50.48, 23.39,46.95, 335.96, 0.00,78.0764030763297,
88,1.20, 50.48, 23.35,46.95, 335.96, 0.00,78.0764030763297,
89,1.20, 50.48, 23.30,46.95, 335.96, 0.00,78.0764030763297,
90,1.20, 50.48, 23.26,46.95, 335.96, 0.00,78.0764030763297,
91,1.20, 50.48, 23.21,46.95, 335.96, 0.00,78.0764030763297,
92,1.20, 50.48, 23.15,46.95, 335.96, 0.00,78.0764030763297,
93,1.20, 50.48, 23.06,46.95, 335.96, 0.00,78.0764030763297,
94,1.20, 50.48, 22.99,46.95, 335.96, 0.00,78.0764030763297,
95,1.20, 50.48, 22.95,46.95, 335.96, 0.00,78.0764030763297,
96,1.20, 50.48, 22.91,46.95, 335.96, 0.00,78.0764030763297,
97,1.20, 50.48, 22.86,46.95, 335.96, 0.00,78.0764030763297,
98,1.20, 50.48, 22.80,46.95, 335.96, 0.00,78.0764030763297,
